ACARA ID,School Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent School ID,AGE ID,Latitude,Longitude,StateProvinceID
41594,Airds High School,Campbelltown,NSW,2560,Secondary,Gov,Open,Major Cities,41594,46504,-34.0869,150.827,000008493
42936,Albion Park High School,Albion Park,NSW,2527,Secondary,Gov,Open,Major Cities,42936,54950,-34.5767,150.773,000008586
42689,Albury High School,Albury,NSW,2640,Secondary,Gov,Open,Inner Regional,42689,50438,-36.0728,146.915,000008101
41184,Alexandria Park Community School,Alexandria,NSW,2015,Combined,Gov,Open,Major Cities,41184,46425,-33.9002,151.196,000008556
42405,Alstonville High School,Alstonville,NSW,2477,Secondary,Gov,Open,Inner Regional,42405,54740,-28.8399,153.434,000008578
41607,Ambarvale High School,Rosemeadow,NSW,2560,Secondary,Gov,Open,Major Cities,41607,54941,-34.1006,150.801,000008570
42533,Ardlethan Central School,Ardlethan,NSW,2665,Combined,Gov,Open,Outer Regional,42533,50519,-34.3541,146.901,000001051
42534,Ariah Park Central School,Ariah Park,NSW,2665,Combined,Gov,Open,Outer Regional,42534,50520,-34.3469,147.218,000001055
52723,Armidale Secondary College,Armidale,NSW,2350,Secondary,Gov,Open,Inner Regional,52723,49373,-30.51925421,151.6532283,000008915
41848,Arthur Phillip High School,Parramatta,NSW,2150,Secondary,Gov,Open,Major Cities,41848,46461,-33.8164,151.007,000008892
41585,Ashcroft High School,Ashcroft,NSW,2168,Secondary,Gov,Open,Major Cities,41585,46380,-33.9204,150.897,000008397
41189,Ashfield Boys High School,Ashfield,NSW,2131,Secondary,Gov,Open,Major Cities,41189,45966,-33.8895,151.129,000008832
42412,Ashford Central School,Ashford,NSW,2361,Combined,Gov,Open,Outer Regional,42412,49412,-29.3213,151.095,000001066
41330,Asquith Boys High School,Asquith,NSW,2077,Secondary,Gov,Open,Major Cities,41330,47672,-33.6923,151.103,000008245
41326,Asquith Girls High School,Asquith,NSW,2077,Secondary,Gov,Open,Major Cities,41326,47673,-33.6897,151.113,000008222
41571,Auburn Girls High School,Auburn,NSW,2144,Secondary,Gov,Open,Major Cities,41571,46471,-33.8429,151.034,000008253
51456,Aurora College,Lane Cove North,NSW,2066,Secondary,Gov,Open,Major Cities,51456,85787,-33.7897,151.1607,000008912
40761,Awabakal Environmental Education Centre,Shortland,NSW,2307,Combined,Gov,Open,Major Cities,40761,64093,-32.8761,151.696,000005458
42383,Ballina Coast High School,Ballina,NSW,2478,Secondary,Gov,Open,Inner Regional,42383,49764,-28.8666,153.565,000008195
42535,Balranald Central School,Balranald,NSW,2715,Combined,Gov,Open,Outer Regional,42535,46377,-34.6363,143.564,000001115
41572,Bankstown Girls High School,Bankstown,NSW,2200,Secondary,Gov,Open,Major Cities,41572,46340,-33.9208,151.032,000008254
40638,Bankstown Senior College,Bankstown,NSW,2200,Secondary,Gov,Open,Major Cities,40638,55388,-33.9291,151.023,000008381
42387,Banora Point High School,Banora Point,NSW,2486,Secondary,Gov,Open,Major Cities,42387,56648,-28.2155,153.525,000008282
42942,Baradine Central School,Baradine,NSW,2396,Combined,Gov,Open,Remote,42942,46402,-30.9507,149.07,000001130
42536,Barellan Central School,Barellan,NSW,2665,Combined,Gov,Open,Outer Regional,42536,50521,-34.2878,146.572,000001131
42710,Barham High School,Barham,NSW,2732,Secondary,Gov,Open,Outer Regional,42710,50671,-35.623,144.132,000008461
42415,Barraba Central School,Barraba,NSW,2347,Combined,Gov,Open,Outer Regional,42415,49371,-30.3824,150.599,000001140
41342,Barrenjoey High School,Avalon Beach,NSW,2107,Secondary,Gov,Open,Major Cities,41342,47719,-33.6312,151.334,000008454
41567,Bass High School,Bass Hill,NSW,2197,Secondary,Gov,Open,Major Cities,41567,48570,-33.8979,150.989,000008223
42935,Batemans Bay High School,Batehaven,NSW,2536,Secondary,Gov,Open,Inner Regional,42935,54942,-35.729,150.195,000008581
42540,Batlow Technology School,Batlow,NSW,2730,Combined,Gov,Open,Outer Regional,42540,46415,-35.523,148.147,000001152
41828,Baulkham Hills High School,Baulkham Hills,NSW,2153,Secondary,Gov,Open,Major Cities,41828,47852,-33.7502,150.991,000008464
42907,Bega High School,Bega,NSW,2550,Secondary,Gov,Open,Outer Regional,42907,50182,-36.6767,149.839,000008165
42385,Bellingen High School,Bellingen,NSW,2454,Secondary,Gov,Open,Inner Regional,42385,46362,-30.4551,152.908,000008258
42097,Belmont High School,Belmont,NSW,2280,Secondary,Gov,Open,Major Cities,42097,48739,-33.02720541,151.6595878,000008203
41612,Belmore Boys High School,Belmore,NSW,2192,Secondary,Gov,Open,Major Cities,41612,46391,-33.91059661,151.0850641,000008804
41573,Beverly Hills Girls High School,Beverly Hills,NSW,2209,Secondary,Gov,Open,Major Cities,41573,56164,-33.9477,151.078,000008255
42713,Billabong High School,Culcairn,NSW,2660,Secondary,Gov,Open,Inner Regional,42713,50513,-35.6609,147.044,000008503
42420,Bingara Central School,Bingara,NSW,2404,Combined,Gov,Open,Outer Regional,42420,49506,-29.8667,150.567,000001234
42945,Binnaway Central School,Binnaway,NSW,2395,Combined,Gov,Open,Outer Regional,42945,56165,-31.5528,149.375,000001237
41564,Birrong Boys High School,Birrong,NSW,2143,Secondary,Gov,Open,Major Cities,41564,47795,-33.894,151.025,000008213
41614,Birrong Girls High School,Birrong,NSW,2143,Secondary,Gov,Open,Major Cities,41614,47796,-33.8895,151.026,000008854
41812,Blacktown Boys High School,Blacktown,NSW,2148,Secondary,Gov,Open,Major Cities,41812,47827,-33.7621,150.913,000008244
41808,Blacktown Girls High School,Blacktown,NSW,2148,Secondary,Gov,Open,Major Cities,41808,47828,-33.762,150.911,000008224
41158,Blakehurst High School,Blakehurst,NSW,2221,Secondary,Gov,Open,Major Cities,41158,44403,-33.9804,151.113,000008236
41836,Blaxland High School,Blaxland,NSW,2774,Secondary,Gov,Open,Major Cities,41836,50838,-33.7542,150.609,000008522
43114,Blayney High School,Blayney,NSW,2799,Secondary,Gov,Open,Inner Regional,43114,50998,-33.531,149.251,000008357
42423,Boggabilla Central School,Boggabilla,NSW,2409,Combined,Gov,Open,Outer Regional,42423,54959,-28.6166,150.362,000001275
42920,Bomaderry High School,Bomaderry,NSW,2541,Secondary,Gov,Open,Inner Regional,42920,46500,-34.844,150.603,000008448
42926,Bombala High School,Bombala,NSW,2632,Secondary,Gov,Open,Outer Regional,42926,46374,-36.9176,149.232,000008486
42155,Bonalbo Central School,Bonalbo,NSW,2469,Combined,Gov,Open,Outer Regional,42155,46443,-28.7355,152.624,000001290
41574,Bonnyrigg High School,Bonnyrigg,NSW,2177,Secondary,Gov,Open,Major Cities,41574,46381,-33.895,150.893,000008260
42736,Boorowa Central School,Boorowa,NSW,2586,Combined,Gov,Open,Inner Regional,42736,50284,-34.4367,148.726,000001313
41609,Bossley Park High School,Bossley Park,NSW,2176,Secondary,Gov,Open,Major Cities,41609,54943,-33.87091327,150.8747396,000008582
43112,Bourke High School,Bourke,NSW,2840,Secondary,Gov,Open,Very Remote,43112,46449,-30.0915,145.949,000008355
40745,Bournda Environmental Education Centre,Kalaru,NSW,2550,Combined,Gov,Open,Outer Regional,40745,64077,-36.791,149.927,000005679
42904,Bowral High School,Bowral,NSW,2576,Secondary,Gov,Open,Inner Regional,42904,50239,-34.4888,150.423,000008104
42159,Bowraville Central School,Bowraville,NSW,2449,Combined,Gov,Open,Inner Regional,42159,46363,-30.6453,152.854,000001336
40637,Bradfield College,St Leonards,NSW,2065,Secondary,Gov,Open,Major Cities,40637,55386,-33.8205,151.188,000008599
42739,Braidwood Central School,Braidwood,NSW,2622,Combined,Gov,Open,Inner Regional,42739,50415,-35.4406,149.799,000001340
42949,Brewarrina Central School,Brewarrina,NSW,2839,Combined,Gov,Open,Very Remote,42949,46450,-29.9637,146.859,000001350
40746,Brewongle Environmental Education Centre,Sackville North,NSW,2756,Combined,Gov,Open,Inner Regional,40746,64078,-33.4817,150.892,000005694
42106,Brisbane Water Secondary College Umina Campus,Umina Beach,NSW,2257,Secondary,Gov,Open,Major Cities,42106,8704,-33.5074,151.308,000008513
40440,Brisbane Water Secondary College Woy Woy Campus,Woy Woy,NSW,2256,Secondary,Gov,Open,Major Cities,40440,46489,-33.4927,151.324,000008374
43098,Broken Hill High School,Broken Hill,NSW,2880,Secondary,Gov,Open,Outer Regional,43098,46480,-31.9601,141.457,000008105
42162,Bulahdelah Central School,Bulahdelah,NSW,2423,Combined,Gov,Open,Inner Regional,42162,46431,-32.4134,152.212,000001402
42938,Bulli High School,Bulli,NSW,2516,Secondary,Gov,Open,Major Cities,42938,49990,-34.3372,150.921,000008878
42427,Bundarra Central School,Bundarra,NSW,2359,Combined,Gov,Open,Outer Regional,42427,49397,-30.1684,151.078,000001415
